step,meas,filtered,pi_b,mu
0.01,4.31456381620815,3.66376476235977,0,8.32938547149421e-19
0.05,0.616835054021898,4.04110304746853,0.0449497618698433,-0.0138882510632924
0.09,2.68177228530405,4.90789257434069,0.299536756642438,0.0659784495126924
0.13,9.12628047218438,6.17502681952903,0.810415458617751,0.222845202363463
0.17,9.08542911740043,7.63708273420244,1.68071230943135,0.483611877758162
0.21,9.55200725499751,9.02206420812258,2.73109012442102,0.92837197626052
0.25,10.083858898709,10.0638787336535,3.57889179359939,1.84388044054164
0.29,10.0647694185442,10.5756395767899,4.69591405855446,3.26670344294047
0.33,10.1222671772861,10.5011526679653,6.28212908445748,5.24402841588953
0.37,8.41380324119001,9.92858357334436,7.35866663897747,7.16140404196012
0.41,9.5571956174448,9.06213888313616,7.57468517748145,7.51046767331167
0.45,9.32062782324442,8.16077226587649,7.65947371518465,7.53864396671182
0.49,7.28792212112682,7.46316573869249,7.69627528093571,7.51991142606032
0.53,8.47223258455436,7.12225573935537,7.71941958793349,7.50448320902743
0.57,8.05419757440851,7.16911984400777,7.74321734194602,7.50390303654411
0.61,6.14402180609556,7.51627900854152,7.77139949688102,7.51609935819436
0.65,6.53586349990188,7.99759965152171,7.8032878157136,7.53775252006456
0.69,8.80567834070245,8.43020507860836,7.83827627868688,7.56729302158671
0.73,8.73201481515338,8.67699147363066,7.87615844287465,7.45298391732679
0.77,7.88353022778741,8.6887540673789,7.76541384270357,7.61910894618412
0.81,8.92531120517241,8.5124505112112,8.03931926810247,7.79665803268104
0.85,8.11860919536634,8.26424103029986,8.23708309626664,7.91192581765326
0.89,5.17673095275273,8.07849173370082,8.31548522836234,7.96759618982956
0.93,9.94855858560971,8.05247934811268,8.33593054865911,8.00038624544808
0.97,8.54376024897816,8.20793306360147,8.32899377624763,8.02358093296041
1.01,9.65908168437782,8.48409941981591,8.31145153524004,8.04238154309633
1.05,8.88427808394281,8.76488792662101,8.29163955050005,8.05934886636661
1.09,8.38819485233259,8.92925089318701,8.27262109353855,8.07522210414469
1.13,12.0810198020919,8.90439196604726,8.25464813582033,8.08930908138383
1.17,6.87687265766766,8.6996097219147,8.23670474263682,8.10025708092632
1.21,7.67576829109458,8.40568158846679,8.21759757497653,8.10682134756324
1.25,8.4523029413408,8.15833644877012,8.19659620283408,8.10815604904036
1.29,8.36064626691473,8.07941733071131,8.17353320195946,8.10372249463787
1.33,7.46961880215103,8.21972042813487,8.14855452089147,8.09315982702175
1.37,6.77611037553454,8.52858362353937,8.12182830532748,8.07622663234087
1.41,10.373557546907,8.86591745127033,8.0933693184726,8.05273258835282
1.45,12.4509296986472,9.05558345158029,8.06295499594101,8.02243495679367
1.49,8.25604777553369,8.96120864078676,8.03006945212736,7.98495624894313
1.53,5.1591410741151,8.55402006326621,7.9938674698099,7.93975519668644
1.57,12.3370681524418,7.9424323674601,7.95318484824614,7.88613205598532
1.61,10.5208575516402,7.34589472623597,7.90660051734893,7.82324592208727
1.65,9.38238915947336,7.01674738022268,7.8525241145222,7.75014270883334
1.69,8.03384882691801,7.13558494072824,7.78927897741477,7.66579782935262
1.73,2.31471702120873,7.71907630260356,7.7151689369459,7.56916911647032
1.77,3.75183454918981,8.57826096863882,7.62853307502143,7.45925120270829
1.81,5.9027237203513,9.349309713554,7.52779484956889,7.33512584322416
1.85,7.73783295179549,9.59288315753606,7.41150730547702,7.19600639383478
1.89,9.44946376239793,8.93204271734906,7.2783935016929,7.04127536280907
1.93,10.2816979879033,7.18229715132606,7.12738243459965,6.8705134854663
1.97,6.45786594596201,4.42756797904586,6.95764221550155,6.68351899040021
2.01,2.58113836540879,1.01321491614747,6.22719641478753,6.0120849818257
2.05,-12.424524908242,-2.54424080024752,3.68238139275778,3.39827233326373
2.09,-10.6734803486203,-5.70185312203634,-0.542981086182337,-0.88171022681216
2.13,-5.52569245297707,-8.04155042122136,-6.61816075147481,-7.20894863280641
2.17,-10.1063051408353,-9.37826715992616,-8.49406716585399,-9.01880625905349
2.21,-5.11392838480327,-9.79111881701487,-8.79550718807964,-9.29435891299457
2.25,-10.1297204286399,-9.5713962022129,-8.96118427825776,-9.41945344427708
2.29,-7.31645351887952,-9.10994577360934,-9.15930971015166,-9.57071363494322
2.33,-13.335240007573,-8.76594224715246,-9.39906155145165,-9.77077524023429
2.37,-5.68127284016185,-8.7624491185173,-9.6723097955409,-10.013869332135
2.41,-15.1520532852069,-9.14110582594822,-9.97018158788054,-10.2903077981209
2.45,-0.787130688749955,-9.78457303520165,-10.2854538970742,-10.5905525529237
2.49,-5.24942047696683,-10.4904801118012,-10.6121824306604,-10.9065041781942
2.53,-11.1688879881553,-11.0638660588731,-10.9451104205271,-11.2316600375595
2.57,-13.8402592720528,-11.3920786149379,-11.1634251414261,-11.5171912875167
2.61,-5.27987962848736,-11.476754972216,-11.6712033026167,-11.7816786720104
2.65,-11.2327800153716,-11.4165895371752,-12.1102712651328,-12.1778793205912
2.69,-12.297095917532,-11.3540434984594,-12.3504421644965,-12.5706058332425
2.73,-9.27420975834261,-11.4114693542691,-12.5805203162163,-12.9008092928648
2.77,-18.0394936355698,-11.6432514304015,-12.8252275898046,-13.1925671542982
