step,pi_b,mu
0.01,-1.5896287210307,-1.5896287210307
0.05,-0.825191424065217,-0.866939890130066
0.09,-0.0246041331041049,-0.190341145635646
0.13,0.650767374600534,0.23524572821745
0.17,1.18848469548934,0.407741537707701
0.21,1.14395536206317,0.355303243911447
0.25,1.2941332308801,0.478632680135956
0.29,1.78669997958873,0.91290717770714
0.33,2.60341275485215,1.80601711368655
0.37,3.87379051968323,3.04090520304831
0.41,4.68751338041243,3.98796565993149
0.45,5.24384634899391,4.5360040552787
0.49,5.49470084836704,4.78505776654526
0.53,5.38112384149799,4.69456414365861
0.57,4.90599508297979,4.27349531380735
0.61,4.10260491450721,3.56311281621904
0.65,2.98567841203128,2.58915370691043
0.69,1.51675964808799,1.32618810927158
0.73,0.202617394139486,0.20702179337358
0.77,0.148562378711683,0.127231068338539
0.81,0.22308155084826,0.168841121307479
0.85,0.249856981346304,0.192409457352114
0.89,0.251841555720175,0.181356156959406
0.93,0.228536880207895,0.178003226437088
0.97,0.201444830785676,0.171866877614242
1.01,0.181592488968778,0.170692054935876
1.05,0.161448233275635,0.166736065347845
1.09,0.123456919168513,0.141838816418132
1.13,0.0534602022626744,0.0817172028001654
1.17,-0.0492728088049628,-0.013861761189955
1.21,-0.170120009115764,-0.129926240261429
1.25,-0.285290740997729,-0.242646488018888
1.29,-0.371816601995494,-0.329004138712635
1.33,-0.415813834675289,-0.374955841766861
1.37,-0.415692092034997,-0.37873965083361
1.41,-0.380463824355091,-0.349210898783157
1.45,-0.325553242602884,-0.301613810013835
1.49,-0.268531743148466,-0.253311761829873
1.53,-0.225734966920629,-0.220425272596411
1.57,-0.209293221787609,-0.214871201043875
1.61,-0.223984704850404,-0.241215010990053
1.65,-0.26456156307325,-0.294003377888262
1.69,-0.315566064312982,-0.357594821656253
1.73,-0.355552198693585,-0.410394755419528
1.77,-0.36547892908697,-0.433257875550119
1.81,-0.337985972625083,-0.418770574168899
1.85,-0.282527528583682,-0.376388730079253
1.89,-0.222634569891895,-0.329698604669677
1.93,-0.185668571351343,-0.30616162807247
1.97,-0.189990875776251,-0.324267659299541
2.01,-0.311772553211151,-0.427875588432622
2.05,-0.323121328015204,-0.493471663843777
2.09,-0.360024988059387,-0.555349798089982
2.13,-0.340999247960149,-0.59271149487271
2.17,-0.124550757913449,-0.479037866833503
2.21,-0.356950761990595,-0.621705660841622
2.25,-0.535405111368755,-0.748564026794037
2.29,-0.61576743222864,-0.823101725673634
2.33,-0.631566469512659,-0.856868942226566
2.37,-0.609574288803887,-0.860548068016125
2.41,-0.568050347609864,-0.843748889059684
2.45,-0.524862022251234,-0.820176763561072
2.49,-0.498995458718671,-0.807036100646247
2.53,-0.504536250692139,-0.817880908037699
2.57,-0.543271874348707,-0.843932846822983
2.61,-0.564505776329269,-0.865546341840548
2.65,-0.609329846926028,-0.919344487613611
2.69,-0.662197482818603,-0.946815556296952
2.73,-0.68308362797873,-0.929511610074462
2.77,-0.676961106134028,-0.880507914258095
2.81,-0.667135488223479,-0.825288125733991
2.85,-0.676199054999709,-0.786395181632254
2.89,-0.712416719167974,-0.771880648148793
2.93,-0.766499195039795,-0.772543303240393
2.97,-0.81894388621755,-0.769224192877328
3.01,-0.852922964147854,-0.745587422306573
3.05,-0.86486919338977,-0.698660419734407
3.09,-0.866489583625961,-0.640841092391551
3.13,-0.877143968326005,-0.592252767073925
3.17,-0.911286236336261,-0.56813090966209
3.21,-0.968624202942633,-0.568923189859679
3.25,-1.03305946461824,-0.579194147835304
3.29,-1.08121405427477,-0.576148553474901
3.33,-1.09551097202897,-0.54272526598397
3.37,-1.07387906477982,-0.4773118425446
3.41,-1.03009740143346,-0.394085380553092
