step,meas,filtered,pi_b,mu
0.01,2.46541879478492,1.5896287210307,-3.59320430940002e-18,1.97404750140363e-18
0.05,0.0805242806282456,0.797032548258075,-0.0281588758071414,-0.0699073418719908
0.09,0.044711444683474,0.158521996973938,0.133917863869833,-0.0318191486617081
0.13,-0.0252714865080294,-0.197625741736649,0.453141632863885,0.0376199864808009
0.17,-0.236061975906499,-0.269704812771843,0.918779882717495,0.138036724935857
0.21,-0.0359512168597191,-0.180962236303855,0.962993125759316,0.174341007607592
0.25,-0.191790640819709,-0.120640649003249,1.17349258187685,0.357992031132707
0.29,-0.378359399059792,-0.256891670145645,1.52980830944309,0.656015507561494
0.33,-0.753600292570202,-0.663517605158647,1.9398951496935,1.1424995085279
0.37,-1.23049600354086,-1.29394814801033,2.5798423716729,1.74695705503798
0.41,-2.15002927476715,-2.01117114069275,2.67634223971969,1.97679451923874
0.45,-2.8695021764504,-2.65488640389678,2.58895994509713,1.88111765138193
0.49,-2.93073325558154,-3.11104813577164,2.3836527125954,1.67400963077362
0.53,-2.52966581763139,-3.35148263123267,2.02964121026532,1.34308151242594
0.57,-4.14107961088131,-3.42944188330455,1.47655319967524,0.844053430502797
0.61,-3.23976955143119,-3.43995309790098,0.66265181660623,0.12315971831806
0.65,-2.89336772160251,-3.46943610259453,-0.483757690563248,-0.880282395684095
0.69,-4.41731402418944,-3.56030389983574,-2.04354425174775,-2.23411579056415
0.73,-3.10149176847893,-3.70448795572307,-3.50187056158359,-3.49746616234949
0.77,-4.0669562406105,-3.86297533558964,-3.71441295687796,-3.7357442672511
0.81,-3.29910264000117,-3.995954049585,-3.77287249873674,-3.82711292827752
0.85,-4.34589168637583,-4.08577562212897,-3.83591864078266,-3.89336616477685
0.89,-3.05485797228305,-4.14220115951463,-3.89035960379446,-3.96084500255522
0.93,-3.62878038870917,-4.19083868924218,-3.96230180903429,-4.01283546280509
0.97,-3.30953479537757,-4.25453922305493,-4.05309439226925,-4.08267234544069
1.01,-5.13260324917298,-4.33954166490154,-4.15794917593276,-4.16884960996566
1.05,-4.77820861450797,-4.43345709547747,-4.27200886220183,-4.26672103012962
1.09,-4.59732670374913,-4.51445746159848,-4.39100054242997,-4.37261864518035
1.13,-4.13937573581655,-4.56497548265002,-4.51151528038735,-4.48325827984986
1.17,-3.64618360153299,-4.5818232482373,-4.63109605704226,-4.59568500942725
1.21,-6.18965370012235,-4.5778486395166,-4.74796864863236,-4.70777487977803
1.25,-4.16122493435311,-4.5755156928857,-4.86080643388342,-4.81816218090458
1.29,-5.76507384782113,-4.59687667780771,-4.9686932798032,-4.92588081652034
1.33,-4.41098411521387,-4.65529372396764,-5.07110755864293,-5.0302495657345
1.37,-3.76592677392215,-4.75212744640526,-5.16781953844025,-5.13086709723887
1.41,-3.51319344130069,-4.87831661317305,-5.25878043752814,-5.22752751195621
1.45,-5.71196291861666,-5.01851736686252,-5.3440706094654,-5.32013117687635
1.49,-4.77686620034164,-5.1553470269182,-5.42387877006667,-5.40865878874808
1.53,-7.14983534672133,-5.27273962942759,-5.49847459634822,-5.49316490202401
1.57,-4.23634770001134,-5.35888528141041,-5.56817850319802,-5.57375648245428
1.61,-5.71813299264806,-5.4093550682286,-5.633339773079,-5.65057007921865
1.65,-5.6197603293174,-5.4297549295616,-5.69431649263485,-5.72375830744987
1.69,-6.25512527085732,-5.43588255493927,-5.75144861925225,-5.79347737659552
1.73,-6.12449558165254,-5.44947448760165,-5.80502668629523,-5.85986924302118
1.77,-6.01139444360922,-5.48978389454827,-5.85526282363524,-5.92304177009839
1.81,-7.54832805800296,-5.56428137702163,-5.90226734964672,-5.98305195119053
1.85,-4.50765253738927,-5.66350514299843,-5.94603267158211,-6.03989387307768
1.89,-4.71498964059574,-5.76379274853546,-5.98642731842736,-6.09349135320514
1.93,-5.70833794558809,-5.83753375486388,-6.02320232621523,-6.14369538293635
1.97,-4.10330455025557,-5.86601898390444,-6.05600985968069,-6.19028664320398
2.01,-7.43300499664204,-5.84795367834488,-6.15972623155603,-6.2758292667775
2.05,-7.00768897035938,-5.79887654145745,-6.12199786947265,-6.29234820530122
2.09,-6.31519140830039,-5.74200195549583,-6.10202694355522,-6.29735175358581
2.13,-7.72011712056751,-5.6961019156805,-6.03710116364065,-6.28881341055321
2.17,-4.84347375834745,-5.6676231664859,-5.79217392439935,-6.1466610333194
