step,pi_b,mu
0.01,-7.24078627287741,-7.40173421603308
0.05,-6.9811182927335,-6.8470298000605
0.09,-5.57648003531954,-5.37606826854626
0.13,-3.47095023058922,-3.11256686492381
0.17,-1.10634684938035,-0.381557486826837
0.21,-0.637527817398817,0.785905612037744
0.25,-0.613354558305097,0.964740044195545
0.29,-0.807487103697274,1.22789937945052
0.33,-1.22730668704259,1.02227029374156
0.37,-1.45843060943578,0.912865804634828
0.41,-1.03699720913933,1.34528658184129
0.45,-0.0968961649915185,2.34418417168065
0.49,1.16457092943144,3.67270290275323
0.53,2.46695297728682,5.03929965609861
0.57,3.5651142542562,6.20157245540662
0.61,4.31238840240085,7.01962836536126
0.65,4.63912780009537,7.42420059369817
0.69,4.47667010856579,7.34424661417939
0.73,3.75717604789468,6.71091679102011
0.77,2.72939282631244,5.72809990328193
0.81,0.82895039828769,3.87566230883413
0.85,-0.543471974235095,0.897890626543519
0.89,-0.378465929450606,0.232000538846703
0.93,-0.199835035480508,0.451175300717088
0.97,-0.035309172592985,0.724306818935395
1.01,0.189075265256244,1.02710196568064
1.05,0.464344183798572,1.35029805706594
1.09,0.698694830072277,1.61119751894426
1.13,0.788724623118542,1.71392927861493
1.17,0.689082124768404,1.61553648471944
1.21,0.439997919900508,1.3583919702703
1.25,0.14098762859987,1.04444858052415
1.29,-0.107177574404357,0.775298115790759
1.33,-0.25348731443589,0.601672502155621
1.37,-0.311424058945603,0.51031492075268
1.41,-0.334751187654822,0.448430837104643
1.45,-0.376099237860105,0.36458584031427
1.49,-0.456930937330124,0.23858207605082
1.53,-0.564972590082135,0.0840677871975064
1.57,-0.674360205566686,-0.0717081604128822
1.61,-0.769457309877328,-0.211828857851991
1.65,-0.85419805547712,-0.339069969652574
1.69,-0.942267823477295,-0.466104107450086
1.73,-1.03849801171571,-0.596988154454941
1.77,-1.12762099716122,-0.716006160685996
1.81,-1.17978780733018,-0.793201075668591
1.85,-1.16898018651568,-0.802739175431832
1.89,-1.09072568280063,-0.740556383011928
1.93,-0.966062815967046,-0.628249670099486
1.97,-0.828509865731135,-0.499965956047738
2.01,-0.732931087646506,-0.366002230716823
2.05,-0.58056588218319,-0.293298344745505
2.09,-0.424221837803834,-0.174653311736556
2.13,-0.200334792028379,-0.0131142234090689
2.17,0.140492140715768,0.246453633249381
2.21,0.367215440377823,0.644311962774204
2.25,0.650641590495397,1.0238880213735
2.29,0.987303411301063,1.39772958382458
2.33,1.34138593343548,1.75412301059109
2.37,1.69336649204949,2.09741389400792
2.41,2.05033966372375,2.44836308621138
2.45,2.43487217833291,2.83411641188611
2.49,2.86394449540749,3.27155687254099
2.53,3.33232125335777,3.75484997543492
2.57,3.9354771043881,4.36081427661103
2.61,3.65040108518511,4.2163907889875
2.65,4.28676649218109,4.80477037226003
2.69,4.90647058326043,5.42706719257956
2.73,5.29281395376231,5.83411773133264
2.77,5.51582992498883,6.08917332403951
2.81,5.6790343680826,6.28358468643531
2.85,5.84342271075438,6.47148352177534
2.89,6.02463465235707,6.66567283748669
2.93,6.20714094753196,6.84943564952103
2.97,6.36491032311763,6.99566261356459
3.01,6.47898218938478,7.0838435147221
3.05,6.54515768746499,7.10819581839683
3.09,6.57054794286407,7.07477735681974
3.13,6.563849876777,6.99201547013501
3.17,6.52747592699765,6.86278089045012
3.21,6.45750068408344,6.68417619991655
3.25,6.35102448859075,6.45479823041266
3.29,6.21431571840285,6.18286261770999
3.33,6.06374644237763,5.88714890028565
3.37,5.91666577965233,5.58784949066426
3.41,5.77771694936644,5.29280349811565
3.45,5.63142913994604,4.98995485513561
3.49,5.44932825426512,4.65430088073935
3.53,5.20985629050912,4.26764270818018
3.57,4.91853143241999,3.83858698944567
3.61,4.61242977281822,3.40689319160797
3.65,4.34143649367324,3.02462351969612
3.69,4.13480294476659,2.72263603975392
3.73,3.97467262986531,2.48408351177368
3.77,3.79787981136624,2.24621851860605
3.81,3.53105997865893,1.93554030194304
