step,pi_b,mu
0.01,-4.69984865697848,-4.69984865697848
0.05,-6.78203065895413,-6.81144846232506
0.09,-6.43813010902712,-6.59153212342317
0.13,-3.89703570059984,-4.31809484932858
0.17,-0.992651915333425,-1.84481133725484
0.21,-1.14518154557721,-1.00704710959618
0.25,1.92796603960685,2.49515203224172
0.29,3.36959324621064,3.18651488744911
0.33,2.17611910847398,1.9165696819318
0.37,-0.0677865815412986,0.0954817928714942
0.41,-1.31511486024364,-1.15395793478161
0.45,-1.23093268623565,-1.25923839046658
0.49,-0.257895126457727,-0.385010929873101
0.53,0.832095468317,0.74068664785589
0.57,1.3938521018966,1.31522268595291
0.61,1.1429396446118,1.0003494513717
0.65,0.281757828390418,0.0871260704566463
0.69,-0.633573017190592,-0.825976825326588
0.73,-1.17500080624867,-1.32799531017822
0.77,-1.0151360516232,-1.20647650163327
0.81,-0.508832255670514,-0.76367017607644
0.85,-0.17407841065058,-0.45227315937337
0.89,-0.196412738438568,-0.462676598646297
0.93,-0.511764312788284,-0.810185741613555
0.97,-0.886725355740388,-1.27712188222493
1.01,-1.11435887268893,-1.56754384609856
1.05,-1.11943926583774,-1.58731775262256
1.09,-0.984703725865995,-1.47616970152291
1.13,-0.886818117565937,-1.42926393710671
1.17,-0.965846916298734,-1.5631301540017
1.21,-1.22442597443113,-1.87066747686722
1.25,-1.53893408632553,-2.23731877652087
1.29,-1.76353783417223,-2.5207300745221
1.33,-1.83469009987326,-2.65211294113822
1.37,-1.80225678719555,-2.67784343211726
1.41,-1.78128750988905,-2.71334906419807
1.45,-1.86986146042369,-2.85674629871859
1.49,-2.08927301356839,-3.12781169568052
1.53,-2.38068070927781,-3.46643263044159
1.57,-2.65366769268034,-3.78206540197496
1.61,-2.849097483325,-4.01592086670226
1.65,-2.972748926514,-4.17393971309454
1.69,-3.08092423706283,-4.31248186780595
1.73,-3.23446184239413,-4.4926464605955
1.77,-3.45695702089945,-4.73847986704103
1.81,-3.72515772162593,-5.02710961331939
1.85,-3.99380407533655,-5.31340022331604
1.89,-4.23327392258874,-5.5675835212827
1.93,-4.45177963756929,-5.7974735497818
1.97,-4.68700827461912,-6.0400769835949
2.01,-4.98145680890489,-6.32931345869643
2.05,-5.25233956701249,-6.62629733601667
2.09,-5.66513894733737,-7.00983742920839
2.13,-6.03311128163759,-7.34902354419371
2.17,-6.25116285194196,-7.58090582029205
2.21,-6.2744073414689,-7.5163270991019
2.25,-6.43839437925515,-7.58516605166411
2.29,-6.70466477588565,-7.78940291608358
2.33,-7.06057044058106,-8.09002628877486
2.37,-7.51534682649139,-8.44990780294467
2.41,-8.01739617104617,-8.80975633515416
2.45,-8.45787856522266,-9.08648092603308
2.49,-8.74369695070872,-9.20737446880312
2.53,-8.85538578961341,-9.15079903283432
2.57,-8.91059685396255,-8.9917875541655
2.61,-9.16841184849606,-8.92569250391298
2.65,-9.00113486907042,-8.66921279409841
2.69,-8.80604532246656,-8.33355737328747
2.73,-8.75652779785117,-8.05673235432501
2.77,-8.74761118152761,-7.79112563741296
2.81,-8.66002765510953,-7.46514621534399
2.85,-8.46135684315695,-7.06195190649304
2.89,-8.20376276880687,-6.62330462559581
2.93,-7.96356595422892,-6.21332505757482
2.97,-7.77767731898207,-5.86774238290912
3.01,-7.61711738276403,-5.56583329690627
3.05,-7.41003907128652,-5.24515320430003
3.09,-7.09550344416917,-4.84928944366166
3.13,-6.6706004272519,-4.37432394984707
3.17,-6.19728944203895,-3.87848990933331
3.21,-5.7616378645667,-3.44440962863376
3.25,-5.41195141762705,-3.11846815890525
3.29,-5.1205826161078,-2.87211519519002
3.33,-4.80134120942252,-2.61810982259944
3.37,-4.37559264417462,-2.2758383461796
3.41,-3.84106458874092,-1.84010814076699
3.45,-3.2881559352981,-1.39797213621776
3.49,-2.84113463514808,-1.07050380667102
3.53,-2.5576588317076,-0.912635336018752
3.57,-2.35992280568196,-0.844316670527959
3.61,-2.06043092544115,-0.676143308932936
3.65,-1.4836964512207,-0.230915603813493
3.69,-0.610123367830123,0.512534632879419
3.73,0.364911373416136,1.36025133036459
3.77,1.12187846002562,1.99395705034052
3.81,1.42320972715559,2.17718328815408
3.85,1.30605142648145,1.94807831745271
3.89,1.14528640733474,1.68364211454835
3.93,1.37753501511784,1.84248186000924
3.97,2.28590628044636,2.70988045601375
4.01,3.38805319325844,3.66224787411221
4.05,4.23630883179237,4.35885675520142
4.09,4.00556284378911,4.10442581547826
4.13,1.94482627488666,2.04366990444791
4.17,-1.95044563618178,-1.84613533470539
4.21,12.9390231097297,12.9170066114519
4.25,16.0588837506907,15.8972506197045
4.29,11.0133855939112,10.680294368576
4.33,6.87672546802808,6.44067623098998
4.37,5.27945489095584,4.8967283925956
4.41,5.73505771594744,5.53904520849562
4.45,7.10823075192223,7.15680858295996
4.49,8.37797014442019,8.65732919360693
4.53,9.06651420528034,9.52964825079447
4.57,9.26671107049343,9.87763306731098
4.61,9.37053147307509,10.1251372997534
4.65,9.66975412109721,10.5939622434898
4.69,10.1788448408055,11.3117567693818
4.73,10.6991894213408,12.067606574279
4.77,10.945183472036,12.5546170222275
4.81,11.0574139351999,12.9510266791816
4.85,10.9618574731315,13.1056152441386
4.89,10.8374850120785,13.1877171318107
4.93,10.7317281967445,13.3429291407472
4.97,10.8498863160648,13.6148274744001
5.01,10.972467763553,13.8477733638736
5.05,10.895706015415,13.8193262037459
5.09,10.3285619467476,13.3118649074161
5.13,9.9340833742736,12.9091974927911
5.17,10.2821588255267,12.943971676768
5.21,9.34721585379702,11.9639754097438
5.25,8.64952794270253,11.2263777795065
5.29,8.2470399164291,10.6891159195265
5.33,7.86177526334048,10.0510356278007
5.37,7.31251338401368,9.13630951399863
5.41,6.61891353495637,8.09523346907138
5.45,5.97930765608108,6.86568307598285
5.49,5.34736406516215,5.69673883033387
5.53,4.95378581758558,4.7451021290427
5.57,4.75099150273066,3.97743452604976
5.61,4.63520728722016,3.27762074608268
5.65,4.5162287031396,2.5629101376644
5.69,4.38208300322783,1.83032278234207
5.73,4.29379115805715,1.15440985080825
5.77,4.33361717055192,0.630461124476518
5.81,4.54472234512356,0.312710903152173
5.85,4.90369806381474,0.186957447270927
5.89,5.34082968731403,0.192107617468636
5.93,5.78877897608453,0.269925936066002
5.97,6.22353717720743,0.405789916831438
6.01,6.67084770837499,0.633900801145323
6.05,7.17777201731869,1.00770009705915
6.09,7.7724920269638,1.5593902967191
6.13,8.44024541297608,2.27616468904559
6.17,9.12858633865423,3.10545549880139
6.21,9.7735736207314,3.98048761971004
6.25,10.3258863956974,4.84570905030914
6.29,10.7600158302917,5.6659278392007
6.33,11.065515906339,6.4182346676392
6.37,11.2335803145694,7.0796327075719
6.41,11.2538523694832,7.62497285161327
6.45,11.1248109655699,8.03839634951072
6.49,10.8665258575824,8.32695495470494
6.53,10.5198782759607,8.52035604954158
6.57,10.1265272859346,8.65105587092123
6.61,9.70156983737355,8.72674992856245
6.65,9.22129438781106,8.71784662990861
6.69,8.64112555333217,8.57517408051255
6.73,7.93666107960181,8.27088147091107
6.77,7.13938843083528,7.83410381279337
6.81,6.33606161296013,7.35031734437535
6.85,5.62272422991014,6.9153211687046
6.89,5.03835471926458,6.56879266525808
6.93,4.52474770066005,6.25402717726112
6.97,3.94937204810034,5.84061741371537
7.01,3.18811708417135,5.20700719637892
7.05,2.19644995064287,4.33460151850821
7.09,1.13923376716488,3.33982322366958
7.13,0.225413195388938,2.44507885546375
7.17,-0.385011593264945,1.83440552634832
7.21,-0.689886850680068,1.53086199747397
7.25,-0.836057608332549,1.3534112755827
7.29,-0.973116381863786,1.08340695607281
7.33,-1.55019393818172,0.546692564125713
7.37,-2.38191558466947,-0.282315662473257
7.41,-3.12247428023159,-1.06189262654487
7.45,-3.45673262434081,-1.47411565873294
7.49,-3.26267902044566,-1.38180833479242
7.53,-2.73536216277,-0.959828354051137
7.57,-2.31532616036198,-0.635418381457727
7.61,-2.42592777758522,-0.829495584098291
7.65,-3.15753856634206,-1.63691070637208
7.69,-4.09595063220507,-2.64791931166835
7.73,-4.43017280756292,-3.05212352767531
7.77,-3.32039109802955,-2.00716315096998
7.81,-0.346712307344772,0.909752967905257
7.85,4.20703401877296,5.41631167671606
7.89,-10.6452062874905,-10.8149304629444
7.93,-10.5849174953571,-9.06864267319735
7.97,-5.90025839678848,-3.7609685868159
8.01,-3.16860292521094,-0.896235965058846
8.05,-2.76788836975583,-0.639521296012081
8.09,-3.60148942910612,-1.76370273199635
8.13,-4.49314574045115,-2.97421140979795
8.17,-5.62461871888376,-3.38779565059477
8.21,-5.11373900416276,-3.08217776839811
8.25,-3.76048544965246,-2.4410091123943
8.29,-2.76472920608169,-1.91402217112553
8.33,-2.76462562605297,-1.79794879237274
8.37,-3.60833568366882,-2.07786760298724
8.41,-4.54584335419037,-2.49990400096242
8.45,-4.93257998831536,-2.75381362524967
8.49,-4.60519491830798,-2.65434276781169
8.53,-3.82627109265168,-2.22766551813627
8.57,-2.99376564499166,-1.67668711813041
8.61,-2.37474546017303,-1.22320979688895
8.65,-2.06901782336212,-1.0183291175029
8.69,-1.88638590579984,-0.965397684952659
8.73,-1.82670975474605,-1.03753090868038
8.77,-1.49268992957628,-0.897294612320781
8.81,-0.734993110647506,-0.419375993819136
8.85,0.316192008147818,0.284600842444425
8.89,1.34627127568072,0.937785195126509
8.93,2.0440961766487,1.26691576504902
8.97,2.31168196678037,1.1945127445692
9.01,2.36280559653316,0.936518721827015
9.05,2.62524378263616,0.913942270512203
9.09,3.46941840621878,1.49313265744172
9.13,4.9037293113014,2.6870161637877
9.17,6.42560282679821,4.00495544815565
9.21,7.15513220426692,4.58113460604828
