step,meas,filtered,pi_b,mu
0.01,0.0264809051349114,-0.326410470603759,0.266637582756978,0.00785773152
0.05,1.19115766775674,-0.714259281143329,-0.462435235693728,-0.542359244460369
0.09,-2.87040691613532,-1.61953967956533,-1.05890258059152,-1.10611931074396
0.13,-3.51237928938433,-2.75882112433174,-2.27136621427019,-2.25630856285133
0.17,-2.37512930982663,-3.75709876612469,-3.94582089458345,-3.98969407359777
0.21,-5.29018601993242,-4.33644230987659,-4.16659830227711,-4.31139963477761
0.25,-5.95288719386048,-4.44351747145307,-4.16667030444641,-4.31312064733954
0.29,-3.51503379041452,-4.24814085678086,-4.26644371073561,-4.38751933480901
0.33,-5.1053455919079,-4.02347465378553,-4.39846661417192,-4.51805494635332
0.37,-4.11398654758628,-3.98643434894219,-4.62575080773103,-4.68259127112784
0.41,-6.14510043845282,-4.19318287909919,-4.76906623322226,-4.87886180988537
0.45,-4.95389776868271,-4.54247336010164,-4.91514015451708,-5.0462338423117
0.49,-4.50407484516763,-4.86942115990029,-5.08994434562371,-5.23287984909332
0.53,-6.6909001433083,-5.05994959603241,-5.28382843927505,-5.43449057635065
0.57,-7.05653071602717,-5.1127158440684,-5.48764892775805,-5.64425282081005
0.61,-3.99865930743118,-5.11808796123636,-5.69548722098245,-5.85759447493894
0.65,-4.99173704688816,-5.18065837945676,-5.90245554214608,-6.07147662179841
0.69,-2.79769025191039,-5.34470449944745,-6.10533739154928,-6.28365928102337
0.73,-3.5363587749875,-5.57215922328643,-6.26791858974241,-6.48982031144496
0.77,-7.44478289873372,-5.78119723515928,-6.48647512484946,-6.69624005508074
0.81,-4.55534838342856,-5.91143501627982,-6.70662356874296,-6.89879581936559
0.85,-11.2580950095861,-5.96727664924922,-6.87232284566353,-7.09107531864595
0.89,-5.28980951959533,-6.01103391930494,-7.08498013067826,-7.25700658637751
0.93,-8.5844511400059,-6.11498062696737,-7.27755933298102,-7.47823891958599
0.97,-8.50941569386478,-6.30911495488239,-7.443016283466,-7.66852974134258
1.01,-7.91995710255034,-6.56108552409543,-7.58909811840125,-7.82990208003875
1.05,-8.35467305901109,-6.79930596970871,-7.72115809966945,-7.97038513977055
1.09,-6.44042752123394,-6.95962110520916,-7.84146215085491,-8.09417443772942
1.13,-8.96552136811021,-7.02172645483906,-7.95044042700033,-8.202761861833
1.17,-7.99699173142552,-7.01221655038338,-8.04749146889883,-8.29618413844324
1.21,-6.01820497707244,-6.97687549953193,-8.13160435287896,-8.37380752790828
1.25,-8.69579747940869,-6.94607361560117,-8.20174225071746,-8.43481396844981
1.29,-10.473519424545,-6.91915066011461,-8.25694504342112,-8.47846339538716
1.33,-9.19991488986978,-6.87666112593044,-8.29630964028105,-8.50419931932356
1.37,-7.10253662014156,-6.80730439671477,-8.3190035104419,-8.51171885108748
1.41,-2.71814271187446,-6.72598770258007,-8.32431011169366,-8.50101636533207
1.45,-5.67197863296816,-6.66785636118491,-8.3116488327839,-8.47236552647068
1.49,-10.3328042440133,-6.66296749071201,-8.28057156804007,-8.42626083096043
1.53,-4.43833256090901,-6.7119160388343,-8.23077148349949,-8.36336237888258
1.57,-7.79094304497516,-6.78214576851299,-8.16210889547087,-8.28445828674695
1.61,-7.45752761179695,-6.82854170548117,-8.0746328925807,-8.19043614893378
1.65,-8.61816496983775,-6.82283850530551,-7.9685887085601,-8.08225418704733
1.69,-9.34874609434105,-6.76929783749215,-7.84441806520153,-7.96090927258852
1.73,-6.64514151623247,-6.69473722868355,-7.70275725283653,-7.82740448284969
1.77,-4.31248809873593,-6.62132701230642,-7.54442803773792,-7.68272128425007
1.81,-5.391869559732,-6.54475521591811,-7.3704167892652,-7.52780009455112
1.85,-7.84075935245373,-6.43678123930514,-7.18184426885315,-7.3635297025243
1.89,-5.07881629474347,-6.2717607556955,-6.97993158480514,-7.19074373027873
1.93,-5.85398676408492,-6.05608049701681,-6.76596593398582,-7.01022205111368
1.97,-8.03359776120223,-5.8343014734889,-6.54126841435954,-6.82269597178209
2.01,-6.23931808025472,-5.66194687963066,-6.31838649196137,-6.6211649213832
2.05,-5.73627341440177,-5.56165156653363,-6.06507625828812,-6.4166520998743
2.09,-8.1673201275027,-5.49653577855087,-5.81321509740995,-6.21036613322801
2.13,-7.61923003722924,-5.38705374291321,-5.54930063067616,-5.99671287973891
2.17,-5.07452169892641,-5.16749158312908,-5.27910627075023,-5.81990392260145
2.21,-5.35633320215974,-4.84571417774558,-5.04026839355021,-5.6103601295554
2.25,-5.26993068790203,-4.51930086551683,-4.7903599005128,-5.38683348029423
2.29,-6.08526598862045,-4.32428866807439,-4.53156296916113,-5.16286809053135
2.33,-3.53772152988803,-4.33761859958581,-4.26853188777443,-4.9399701403452
2.37,-4.56372249314474,-4.49200444697212,-4.00512164596911,-4.71863503159753
2.41,-4.41959880556227,-4.5647813825562,-3.74445476606589,-4.49941874281379
2.45,-3.31845269139331,-4.26380071393862,-3.48935856719912,-4.28318091421964
2.49,-2.77013720879422,-3.37454207248301,-3.24227955506906,-4.07107928419137
2.53,-2.58967931188648,-1.88980788718733,-3.00507176839382,-3.86449362363095
2.57,2.07695377069509,-0.0454800941596131,0.0974057665548145,-0.885460770527757
2.61,0.349601340420434,1.76536301472516,3.99315275822154,3.09189716907632
2.65,0.850096974450969,3.15982987816186,4.45512838319395,3.63991201358438
2.69,3.88981160622218,3.92753519608164,4.38700508766487,3.57138085774089
2.73,1.2072829362324,4.10425352428788,4.35771728321654,3.53521041422944
2.77,6.74754517338639,3.92366008277327,4.3988583691057,3.5688119391164
2.81,4.2816894816106,3.68121359731973,4.47865180356111,3.64266922709966
2.85,3.36752304195179,3.58883692449809,4.56973581782094,3.73028497413941
2.89,7.37167272424815,3.69650291861166,4.65472931019839,3.81466039506506
2.93,6.02048174345169,3.91191767136437,4.72374694505007,3.88586036763172
2.97,4.14620891780431,4.0916174001521,4.77158134767564,3.93850502254267
3.01,5.99617606400217,4.14064716509335,4.7957989653824,3.96998928144043
3.05,3.3186040255127,4.06235493682245,4.79560779550248,3.97936744788829
3.09,3.35819103636889,3.93771473072359,4.77120442998746,3.96669479922451
3.13,3.84109071019347,3.85875939063004,4.7233869323815,3.93265774962792
3.17,3.14758287580755,3.86527971182724,4.65333143718105,3.87837361249144
3.21,3.78868730606721,3.92534370674562,4.56247933974474,3.80528481643161
3.25,1.49064151435888,3.96722829249699,4.45249043910856,3.715099744106
3.29,2.80355435416527,3.93590926412813,4.32522106976752,3.60975022878129
3.33,3.90746864769036,3.83310335057467,4.18270103995866,3.49134927234651
3.37,2.29413191192467,3.71349900964442,4.02710157838992,3.36214332714135
3.41,3.82237885879008,3.64091433599131,3.86069760839103,3.22446047322789
3.45,4.91259328796044,3.63591195970308,3.68582917729565,3.08065847087757
3.49,2.33655257744649,3.65291233974468,3.50486403973171,2.93307624326111
3.53,1.10036564304287,3.6058598299423,3.32016169472205,2.78399093695203
3.57,4.27992503488146,3.42890579007178,3.13403985870764,2.63558172922451
3.61,3.61556694042498,3.13304446880157,2.94874551668212,2.48990119466441
3.65,2.54163377980712,2.81800326947187,2.7664325419563,2.34885480689506
3.69,2.75014851486411,2.62350286835094,2.58914643397112,2.21418860829825
3.73,0.815766691811639,2.64145297599754,2.41881517537568,2.08748425316596
3.77,5.16912593239501,2.83830165587425,2.25724445573672,1.97015984433335
3.81,2.45011387011995,3.03683788634883,2.10611555427231,1.86347453232205
3.85,3.48494704779218,2.97719394075665,1.96698448509558,1.76853482718453
3.89,1.39427728198849,2.43324583481795,1.85922584901466,1.70401898591965
3.93,2.40048617482268,1.32774692463606,1.737787222158,1.60496688348388
3.97,1.44558518094498,-0.213358130326213,-0.29685612877639,-0.219285335387731
4.01,-2.97496320521052,-1.89753062161585,-3.02534346118932,-2.72842958217723
4.05,-4.26281375249611,-3.37747284453398,-5.27106216497764,-5.28729012453155
4.09,-3.29369677692644,-4.38543693409643,-5.22023264033944,-5.33380088956648
4.13,-2.73175039032782,-4.8281814765602,-4.99524471763824,-5.09076350440729
4.17,-5.10231251310481,-4.80281310676923,-4.85099166039671,-4.91089231464681
4.21,-5.01599573137285,-4.53327380326711,-4.725015375171,-4.75143145670209
4.25,-3.55918624907308,-4.26293104212437,-4.71552024651434,-4.70742328854801
4.29,-2.73011532337389,-4.15402187760262,-4.66766054109335,-4.64093690295542
4.33,-4.38703567853533,-4.23555910957682,-4.59335140165162,-4.56400201587215
4.37,-3.26233927060125,-4.41577700240377,-4.50054543284839,-4.47398648824482
4.41,-4.76906757662937,-4.54672128341883,-4.39382353386364,-4.37130632062299
4.45,-3.75151503186176,-4.50858907272289,-4.27140867455211,-4.25502906788555
4.49,-4.7634541673035,-4.27554705367444,-4.13285304810884,-4.12592295541803
4.53,-5.65478401438567,-3.93330557612198,-3.97938994235236,-3.98630444937265
4.57,-5.13660593705608,-3.63853921564154,-3.81276771395545,-3.83783712067043
4.61,-4.34346037734792,-3.5354348154656,-3.65052263659127,-3.6949143190812
4.65,-1.95354208211519,-3.66642243739323,-3.44938141515705,-3.52043212964226
4.69,-5.37559561784965,-3.92217990558188,-3.23646471460659,-3.33330735064585
4.73,-2.33401141634672,-4.06306695520862,-3.03491333242256,-3.13466579304311
4.77,-1.79964045881025,-3.81210393282331,-2.78172559545986,-2.93130124023211
4.81,-4.33241573965778,-2.98194990500325,-2.61630115028666,-2.79889626221053
4.85,-2.16506285153496,-1.57526073117941,-2.41074964970611,-2.63128072719887
4.89,1.2267835952461,0.195052255096436,-1.71937363306895,-2.42610185990255
4.93,2.05890361654351,1.98176945276163,1.52980255568647,0.351206817494898
4.97,3.32966657576833,3.44227569766544,4.91277718096761,4.35268307224845
5.01,4.28864716825056,4.37328246509815,5.25516437156259,5.12104816702053
5.05,2.99883618424596,4.77598048229578,5.17783853337228,5.05026715687862
5.09,3.64943534094994,4.82369047240807,5.14543220933916,4.97020321169828
5.13,4.65211571154193,4.75597449051421,5.29830229247796,5.06574995479347
5.17,4.47306736906472,4.7596806009444,5.58281676024563,5.29620445576917
5.21,4.56299118972105,4.8983450964256,5.74403751874009,5.40986264891963
