step,meas,filtered,pi_b,mu
0.01,11.9347936118965,7.40545348133308,0.164667208455669,0.0037192653
0.05,7.87201994542344,6.96075950302819,-0.020358789705306,0.113729702967694
0.09,6.99937867302762,5.87115112156005,0.294671086240512,0.495082853013794
0.13,2.84689143395527,4.38817016868512,0.917219938095902,1.2756033037613
0.17,2.25701324730192,2.95190971338948,1.84556286400913,2.57035222656264
0.21,2.29872000542345,1.98572691117329,1.34819909377447,2.77163252321104
0.25,1.97971324717844,1.69560530998531,1.08225075168022,2.66034535418086
0.29,1.8858634012933,1.97979458497758,1.1723074812803,3.2076939644281
0.33,2.23707247503498,2.49232142170774,1.26501473466515,3.5145917154493
0.37,3.57780964967727,2.81918338230609,1.3607527728703,3.73204918694092
0.41,2.03189098956391,2.66807121764771,1.63107400850837,4.013357799489
0.45,3.08716989524725,1.97342311865377,1.87652695366225,4.31760729033442
0.49,1.60935205592822,0.87445683567991,2.03902776511135,4.54715973843314
0.53,-0.646739825525081,-0.4016813888183,2.06527158846852,4.63761826728031
0.57,-2.73563568222011,-1.67133070699234,1.89378354726386,4.53024174841428
0.61,-3.38519971959083,-2.86406546947486,1.44832293292599,4.1555628958864
0.65,-3.15455988830071,-4.00329176876601,0.635836031329362,3.42090882493217
0.69,-4.74608301625464,-5.12936739832527,-0.652697289759481,2.21487921585412
0.73,-3.20053688398149,-6.22883141085844,-2.47165536296376,0.482085380161672
0.77,-9.81888135450542,-7.22064090328705,-4.49124807697461,-1.49254100000512
0.81,-5.59861456882436,-8.00544163291647,-7.17649123462878,-4.12977932408234
0.85,-9.81762511617745,-8.53890037777701,-9.0823723520121,-7.64100975123349
0.89,-6.06171590192634,-8.87468306930025,-9.25314899875085,-8.64268253045354
0.93,-10.4579311943512,-9.14504397092963,-9.34487900641014,-8.69386867021254
0.97,-7.18823583144614,-9.49010286524156,-9.52541203783455,-8.76579604630617
1.01,-11.0757906124819,-9.98105253496543,-9.79197726970919,-8.95395056928479
1.05,-10.7240166905642,-10.585684247834,-10.1213400640355,-9.23538619076809
1.09,-10.4436617838184,-11.196240804522,-10.4975459744498,-9.58504328557777
1.13,-15.3254107926474,-11.6997702729635,-10.9110456498449,-9.98584099434853
1.17,-7.27384626811886,-12.0461156008726,-11.3570334761042,-10.4305791161532
1.21,-4.28639657442364,-12.273407358788,-11.8334094388875,-10.9150153885177
1.25,-11.2230475355244,-12.4802004629987,-12.3392128343988,-11.4357518824745
1.29,-12.8362545913015,-12.7666847815101,-12.8738623559145,-11.9913866657194
1.33,-20.8887033898734,-13.1833841024249,-13.4368714168608,-12.5817116002692
1.37,-9.54292257703113,-13.7161750386887,-14.0275990976343,-13.2058601179361
1.41,-14.671637025523,-14.3102405230868,-14.6449917107416,-13.8618096859822
1.45,-17.8060317954112,-14.9113630417938,-15.2874622796539,-14.5467772014796
1.49,-16.0529831373972,-15.4959586852798,-15.9528896226099,-15.257376609229
1.53,-13.5895108523537,-16.0736305683829,-16.638603158465,-15.9895627811854
1.57,-21.9704745098068,-16.6669659213306,-17.3413261268973,-16.7386740817435
1.61,-17.3622433652842,-17.2876970233757,-18.0571543332531,-17.4995258812277
1.65,-17.1114739877215,-17.9274044153322,-18.7816024708093,-18.2664743849847
1.69,-30.3069563855474,-18.5674070859514,-19.5096749094287,-19.0335111934015
1.73,-24.8865375646743,-19.1974335878758,-20.2359315995915,-19.7944217423307
1.77,-19.5790549927371,-19.8269491983154,-20.9545701954766,-20.5429553590014
