step,pi_b,mu
23.29,-0.40836114832309,-0.177601380344607
23.33,-0.187354140348702,0.0299043333827385
23.37,-0.0674673339476612,0.142684615294904
23.41,-0.111494114384812,0.0966600439250689
23.45,-0.287289836756726,-0.0687431957457738
23.49,-0.523764837416211,-0.322643256582248
23.53,-0.745755722584345,-0.550419683969022
23.57,-0.842118627269551,-0.653281628396153
23.61,-0.812465348205074,-0.628225897709236
23.65,-0.696935757082411,-0.537782917446332
23.69,-0.656820486328102,-0.448676622370258
23.73,-0.611328434598465,-0.380223062292603
23.77,-0.65643742616315,-0.4188861431099
23.81,-0.796942350281379,-0.560926151572213
23.85,-0.982184902511268,-0.75119525625637
23.89,-1.13558112521839,-0.910553728759596
23.93,-1.19108217115825,-0.971045168300027
23.97,-1.12355936551339,-0.905743704983026
24.01,-0.962680461180272,-0.742807651558836
24.05,-0.783476715589652,-0.55628267654995
24.09,-0.676283236739344,-0.436161652212213
24.13,-0.706906894962453,-0.448429371684108
24.17,-0.882251101342061,-0.600471614904689
24.21,-1.1353299666534,-0.82592797878318
24.25,-1.3370052934874,-0.99640033934417
24.29,-1.33221141478322,-0.957750941744982
24.33,-0.989355344049518,-0.579587070221525
24.37,-0.246343474937485,0.19869777757062
24.41,0.862726782817729,1.3413149556164
24.45,2.20989647034623,2.71855981563955
24.49,0.82204137478547,1.70094127860997
24.53,-1.58591071640204,-0.92320283864547
24.57,-0.95593763775561,-0.614808096323215
24.61,-0.216959387257513,0.0777941435609124
24.65,0.0958709464696721,0.382198819028117
24.69,0.0482964911694799,0.326423329485109
24.73,-0.194318553025249,0.0682388985238793
24.77,-0.471562637916882,-0.2333600470293
24.81,-0.723879494689518,-0.464568849120019
24.85,-0.769675401739481,-0.586872797458985
24.89,-0.648417757592247,-0.624256002799774
24.93,-0.607436230927803,-0.597883926478147
24.97,-0.614413033196989,-0.599749888827169
25.01,-0.672871729532846,-0.68748179558759
25.05,-0.750756121682147,-0.873306302396645
25.09,-1.02006122821381,-1.07115668806807
25.13,-1.30932697800719,-1.30600205346261
25.17,-1.54793592944103,-1.53090023723302
25.21,-1.71160838861572,-1.70214464222917
25.25,-1.80041445718635,-1.80254924891196
25.29,-1.83417937685213,-1.84274373418656
25.33,-1.84399169976254,-1.85080350629471
25.37,-1.85964124445689,-1.85701338188934
25.41,-1.8980881557761,-1.88039215002203
25.45,-1.95787957179387,-1.92197352001759
25.49,-2.02161785106361,-1.9667074403519
25.53,-2.06500642417251,-1.99225902637789
25.57,-2.06827832938895,-1.98034992413877
25.61,-2.02508667453023,-1.92565055670164
25.65,-1.94532802394401,-1.83866453745632
25.69,-1.85108400402486,-1.7417550605265
25.73,-1.76769144227961,-1.66028579019405
25.77,-1.71378247392865,-1.61270773282078
25.81,-1.69434186057861,-1.60365623063764
25.85,-1.69942391288764,-1.62271365034334
25.89,-1.7087837585956,-1.64908745397383
25.93,-1.70029865520803,-1.66006970247899
25.97,-1.65863873215878,-1.63973674728814
26.01,-1.58469104212409,-1.58376777076028
26.05,-1.47710688418552,-1.5033686473141
26.09,-1.36391724100433,-1.41820234408703
26.13,-1.26134185057931,-1.33390759933034
26.17,-1.17293736406752,-1.26934727672299
26.21,-1.10613976049774,-1.22297077282337
26.25,-1.04595215442692,-1.1901393813961
