my_soll,my_ist,my_diff,my_diff_rel,units
6.495,8,-1.505,-23.1716705157814,kg
0,0.3,-0.3,-Inf,m
-0.01439,-0.3,0.28561,-1984.78109798471,m
0.107503,2.37121461128093e-09,0.107502997628785,99.9999977942805,m
0.0690761441316632,1,-0.930923855868337,-1347.67779465794,kg m²
0,0,0,NaN,kg m²
0,1.34316982884307e-06,-1.34316982884307e-06,-Inf,kg m²
0.0711085586914514,1,-0.928891441308549,-1306.3004769076,kg m²
0,1.82776326695844e-19,-1.82776326695844e-19,-Inf,kg m²
0.0200625854402119,0.333333333333333,-0.313270747893121,-1561.46748297568,kg m²
0,27.9592354288858,-27.9592354288858,-Inf,FV
0,10.8565276402388,-10.8565276402388,-Inf,FS
8.807,12,-3.193,-36.2552515044851,kg
1.2e-05,-0.00898284843465561,0.00899484843465561,74957.0702887968,m
0.06472,-0.146091825520728,0.210811825520728,325.729025835489,m
0.004804,0.3,-0.295196,-6144.79600333056,m
0.0824701683534692,1,-0.917529831646531,-1112.55966850216,kg m²
0,0,0,NaN,kg m²
0,0.0333333333333333,-0.0333333333333333,-Inf,kg m²
0.0164110968055191,0.333333333333333,-0.316922236527814,-1931.14598179222,kg m²
0,0,0,NaN,kg m²
0.0873510892661361,1,-0.912648910733864,-1044.80541502266,kg m²
0,29.7110811808758,-29.7110811808758,-Inf,FV
0,13.7776299237436,-13.7776299237436,-Inf,FS
2.8,5.83399943277775,-3.03399943277775,-108.357122599205,kg
-0.000208,-0.0186414322186878,0.0184334322186878,-8862.22702821528,m
0.01601,0.3,-0.28399,-1773.8288569644,m
0.082283,0.3,-0.217717,-264.595359916386,m
0.0230152941318817,1,-0.976984705868118,-4244.93686793583,kg m²
0,0,0,NaN,kg m²
0,0.0333333333333333,-0.0333333333333333,-Inf,kg m²
0.0228661554143474,1,-0.977133844585653,-4273.27562014447,kg m²
0,0,0,NaN,kg m²
0.0554482283748983,0.333333333333333,-0.277885104958435,-501.161377203235,kg m²
0,10.1512810600012,-10.1512810600012,-Inf,FV
0,6.94822236666802,-6.94822236666802,-Inf,FS
5.283,5.61843445641484,-0.335434456414839,-6.34931774398712,kg
-0.000203,0.00768193956009901,-0.00788493956009901,3884.20667985173,m
0.098639,0.0148712150203061,0.0837677849796939,84.9235951091291,m
0.011478,0.3,-0.288522,-2513.69576581286,m
0.0472789668341968,1,-0.952721033165803,-2015.10544108739,kg m²
0,0,0,NaN,kg m²
0,0.022469035418671,-0.022469035418671,-Inf,kg m²
0.00964726804146909,0.25,-0.240352731958531,-2491.40721420165,kg m²
0,0.0278313652791016,-0.0278313652791016,-Inf,kg m²
0.0466529007761679,0.75,-0.703347099223832,-1507.61707744254,kg m²
0,17.9298590923128,-17.9298590923128,-Inf,FV
0,7.36924690319842,-7.36924690319842,-Inf,FS
1.889,2.54336503171424,-0.654365031714237,-34.6408169250522,kg
5.7e-05,0.00369050159628705,-0.00363350159628705,-6374.56420401237,m
0.014468,0.0912225336303969,-0.0767545336303969,-530.512397224197,m
0.057938,0.3,-0.242062,-417.794884186544,m
0.0138359953358589,0.303710245587165,-0.289874250251306,-2095.07334466958,kg m²
0,0,0,NaN,kg m²
0,0,0,NaN,kg m²
0.0116859337751969,0.404946994116219,-0.393261060341023,-3365.25148872321,kg m²
0,0.0101236748530269,-0.0101236748530269,-Inf,kg m²
0.00571863785412578,0.101236748529055,-0.0955181106749291,-1670.29479941655,kg m²
0,5.91973064989303,-5.91973064989303,-Inf,FV
0,6.9667962204714,-6.9667962204714,-Inf,FS
2.32,1.0029862601651,1.3170137398349,56.7678336135732,kg
0.000363,0.0426767600089813,-0.0423137600089813,-11656.6831980665,m
0.016982,0.0209585749801916,-0.0039765749801916,-23.4164113778801,m
-0.019731,0.159955488791749,-0.179686488791749,910.681104818554,m
0.00732758787216765,0.0313806870689844,-0.0240530991968167,-328.253985027973,kg m²
0,0.0035581645727611,-0.0035581645727611,-Inf,kg m²
0,0.000546757577846123,-0.000546757577846123,-Inf,kg m²
0.00477633755783711,0.00546757577784885,-0.000691238220011743,-14.4721391995745,kg m²
0,0,0,NaN,kg m²
0.00606797638550296,0.0259131112911355,-0.0198451349056326,-327.047002902725,kg m²
0,2.33688572917343,-2.33688572917343,-Inf,FV
0,3.21416560178464,-3.21416560178464,-Inf,FS
0.863,1.12549779567338,-0.262497795673377,-30.416894052535,kg
0.001904,-0.0283542667915268,0.0302582667915268,1589.19468442893,m
-9.3e-05,-0.0159691111532946,0.0158761111532946,-17071.0872616071,m
0.0174619999999999,-0.00967321052814316,0.0271352105281431,155.39577670452,m
0.000884,0.237237462326785,-0.236353462326785,-26736.8170052924,kg m²
0,0.0177719024819188,-0.0177719024819188,-Inf,kg m²
0,4.82309627220516e-20,-4.82309627220516e-20,-Inf,kg m²
0.000888,0.392959577433062,-0.392071577433062,-44152.2046658853,kg m²
0,0,0,NaN,kg m²
0.001105,0.177719024804283,-0.176614024804283,-15983.169665546,kg m²
0,2.99789394563236,-2.99789394563236,-Inf,FV
0,3.21515795137483,-3.21515795137483,-Inf,FS
