step,pi_b,mu
0.01,-3.01001520434165,-3.01001520434165
0.05,-3.34247808920998,-3.39596546912873
0.09,-4.31539034442692,-4.52699579784658
0.13,-5.51344141668198,-6.04354210032806
0.17,-6.36058070657317,-7.34636863573431
0.21,-7.21033670569269,-8.19794586909098
0.25,-7.03001618006384,-8.00940724279425
0.29,-5.87039932785321,-6.86685041251229
0.33,-4.03070207540008,-4.85312443316121
0.37,-2.16731960130526,-2.24700327600497
0.41,-1.32796066940022,-1.41839947796162
0.45,-0.769513125630521,-0.853426801201774
0.49,-0.220047603778045,-0.315260515004464
0.53,0.3013429176605,0.198324872912186
0.57,0.648575458921591,0.540492972496625
0.61,0.657575849372209,0.546040893670944
0.65,0.294635750962282,0.183632477772091
0.69,-0.27562636480038,-0.380633464912789
0.73,-0.970919918773955,-1.02433957021935
0.77,-0.95952084750772,-1.04917833111367
0.81,-0.559852252944816,-0.677786160817552
0.85,-0.0456873601797518,-0.185368069937867
0.89,0.276473122041539,0.163884751735841
0.93,0.285905548240164,0.186744667224916
0.97,0.0214678670549588,-0.0687475893353593
1.01,-0.310872405685513,-0.394300131818527
1.05,-0.483133869345682,-0.561578149495041
1.09,-0.406725562139014,-0.48342524437224
1.13,-0.189196069816219,-0.267926602441745
1.17,-0.0430922383196659,-0.126327610079137
1.21,-0.115302747750848,-0.204176396357949
1.25,-0.367102452646172,-0.461958882304957
1.29,-0.599656434177808,-0.699836939228259
1.33,-0.610903063077469,-0.714351536247367
1.37,-0.366943582628609,-0.470296561391681
1.41,-0.0518902654850546,-0.150801159041791
1.45,0.0561409420368477,-0.0332387913976326
1.49,-0.195815429491386,-0.270071862643784
1.53,-0.683563235781172,-0.736971256499354
1.57,-1.05183985821821,-1.07899504046104
1.61,-0.95485938758682,-0.951109713806458
1.65,-0.33872978915283,-0.30053679451924
1.69,0.441926890372797,0.516708120561023
1.73,0.791486650371794,0.903426861814245
1.77,0.257435507602486,0.405477404237351
1.81,-1.09838338893416,-0.916840997132478
1.85,-2.59440566145476,-2.38330337510541
1.89,-3.1990999104828,-2.96342898157971
1.93,-2.05590236838547,-1.8013703766908
1.97,1.02711558871748,1.29442824089542
2.01,4.93651509970556,5.27052494468555
2.05,7.2252547738117,7.50664980062715
2.09,6.79356486374597,7.18372726283248
2.13,2.84411941666843,3.27176215707217
2.17,0.576407512975605,0.699942150845898
2.21,-0.367970388253939,-0.301916926693528
2.25,-1.10028384537687,-1.06919835563236
2.29,-1.26228970712772,-1.25643995959024
2.33,-0.823546355793045,-0.842690054801285
2.37,-0.140320161975287,-0.188586984725008
2.41,0.338207716117278,0.255474412146262
2.45,0.370749690902212,0.247835417701554
2.49,0.0358279696874959,-0.132760592486337
2.53,-0.378696985381467,-0.597652118954418
2.57,-0.568917223566324,-0.839792217770075
2.61,-0.568504439810916,-0.767914556372354
