step,meas,filtered,pi_b,mu
0.01,7.84619862410488,4.69984865697848,-5.2757957853061e-17,-1.28212796513224e-18
0.05,12.1263205082557,6.74407235701929,-0.0379583019348341,-0.067376105305768
0.09,10.3170175712476,5.56158175946076,-0.876548349566363,-1.02995036396241
0.13,0.428401560442871,1.19890931084495,-2.69812638975489,-3.11918553848363
0.17,-9.42804142785631,-4.93100316277485,-5.92365507810827,-6.77581450002969
0.21,-12.8190419096418,-10.7265160365703,-11.8716975821475,-11.7335631461665
0.25,-14.0219989111673,-14.4155446166348,-12.4875785770279,-11.920392584393
0.29,-11.101740259129,-15.3550144253199,-11.9854211791092,-12.1684995378708
0.33,-12.8340507246625,-14.1950500293959,-12.018930920922,-12.2784803474641
0.37,-14.3202631623265,-12.3698514306132,-12.4376380121545,-12.2743696377417
0.41,-17.9482925934283,-11.255264106222,-12.5703789664657,-12.4092220410037
0.45,-6.07278745225233,-11.4867117126968,-12.7176443989325,-12.7459501031634
0.49,-8.76592163885299,-12.7865002825287,-13.0443954089865,-13.1715112124018
0.53,-6.06301574071014,-14.318572944902,-13.486477476585,-13.5778862970461
0.57,-9.86303020378089,-15.2863857364664,-13.8925336345698,-13.9711630505135
0.61,-14.1446111215941,-15.3920608800816,-14.2491212354698,-14.3917114287099
0.65,-14.3264432559702,-14.9154585013126,-14.6337006729222,-14.828332430856
0.69,-15.1999156828048,-14.4348972500425,-15.0684702672331,-15.2608740753691
0.73,-12.9312061182414,-14.4212325374615,-15.5962333437102,-15.7492278476398
0.77,-10.4732904842062,-14.9739243123871,-15.9890603640103,-16.1804008140204
0.81,-15.7868625739829,-15.8348084856404,-16.3436407413109,-16.5984786617168
0.85,-20.200814458344,-16.6205097144967,-16.7945881251473,-17.0727828738701
0.89,-11.3950844522193,-17.0885116998146,-17.2849244382532,-17.5511882984609
0.93,-21.9119711869629,-17.2628396673626,-17.7746039801509,-18.0730254089762
0.97,-14.2574598175767,-17.3644735683509,-18.2511989240913,-18.6415954505759
1.01,-21.9810920614463,-17.6260658559016,-18.7404247285905,-19.1936097020001
1.05,-13.6792997820676,-18.1318599468151,-19.2512992126528,-19.7191776994377
1.09,-16.4741349973538,-18.7839785962262,-19.7686823220922,-20.2601482977491
1.13,-20.9923200748484,-19.3970033579729,-20.2838214755388,-20.8262672950796
1.17,-15.814462882347,-19.8377721405319,-20.8036190568306,-21.4009022945336
1.21,-17.246601017035,-20.1099563604652,-21.3343823348963,-21.9806238373324
1.25,-17.3972707583641,-20.3344969736417,-21.8734310599672,-22.5718157501625
1.29,-17.420063283988,-20.6533418204903,-22.4168796546625,-23.1740718950124
1.33,-25.6011310634393,-21.1312008615972,-22.9658909614705,-23.7833138027355
1.37,-21.8775929710509,-21.7211655507077,-23.5234223379033,-24.399008982825
1.41,-20.9166653061453,-22.3087687969734,-24.0900563068625,-25.0221178611715
1.45,-23.6296071504791,-22.795137725806,-24.6649991862297,-25.6518840245246
1.49,-29.9254542131266,-23.1592821156075,-25.2485551291759,-26.287093811288
1.53,-22.3170679205518,-23.461325782075,-25.8420064913528,-26.9277584125166
1.57,-17.9915322625973,-23.7925227634128,-26.4461904560931,-27.5745881653877
1.61,-25.4543373834321,-24.2121521126005,-27.0612495959255,-28.2280729793027
1.65,-21.3064757272366,-24.714562363325,-27.687311289839,-28.8885020764196
1.69,-28.6507880348787,-25.2437751229866,-28.3246993600494,-29.5562569907926
1.73,-26.6372165268108,-25.7390856898731,-28.9735475322672,-30.2317321504686
1.77,-22.5889917323107,-26.1765919297755,-29.6335489506749,-30.9150717968165
1.81,-22.3154069797481,-26.5789016131111,-30.304059334737,-31.6060112264305
1.85,-34.1316834342856,-26.990397184454,-30.9842012597905,-32.30379740777
1.89,-30.295685080468,-27.4394998022314,-31.6727737248201,-33.0070833235141
1.93,-21.6093823689484,-27.916327628949,-32.3681072665183,-33.7138011787308
1.97,-24.5647208428654,-28.3809910643369,-33.067999338956,-34.4210680479318
2.01,-38.2222980906602,-28.7951279712703,-33.7765847801752,-35.1244414299667
2.05,-28.061475934596,-29.1530879811773,-34.4054275481898,-35.7793853171939
2.09,-32.4805599787933,-29.4898391677332,-35.1549781150706,-36.4996765969416
2.13,-29.6721759141828,-29.8588643596203,-35.8919756412579,-37.207887903814
2.17,-33.0874713898261,-30.2937636544125,-36.5449265063544,-37.8746694747045
