step,meas,filtered,pi_b,mu
0.01,1.69077986589019,0.167161838491068,1.97078608684658e-17,-1.15516147868526e-18
0.05,-2.10668760813913,-1.58639317535078,-0.147388344816539,-0.236357428917313
0.09,-3.87815443568109,-3.35431794209249,-0.17143373875744,-0.531554363951938
0.13,-5.41213155408294,-4.70798087345917,-0.243261446635404,-1.1590472032182
0.17,-5.10017580703119,-5.4210602246929,-0.49496225432982,-2.31848278004284
0.21,-3.87467230173556,-5.56899046928232,-2.07751291779027,-4.46466763666774
0.25,-5.64754783756165,-5.4705776772722,-3.35218194125742,-6.04025293038557
0.29,-7.54825284799439,-5.50681440584661,-4.78070058861529,-7.31811628501714
0.33,-5.08198395125149,-5.92003196664377,-6.90837666202656,-7.55377945004613
0.37,-6.75740071169829,-6.70364974000785,-7.02780802005207,-7.568047789184
0.41,-6.15491739240933,-7.63618162833512,-7.24643621647333,-7.55096014471232
0.45,-8.36859223776057,-8.42846264153327,-7.41163121620486,-7.75648156860154
0.49,-11.4632467116337,-8.89144669951156,-7.5836353262201,-7.99838772807732
0.53,-9.79102017032123,-9.02836377296052,-7.7773474390281,-8.2335174600226
0.57,-8.86282848234996,-9.00768464089129,-7.98275793410401,-8.46916433886249
0.61,-9.59787080364528,-9.04670390670933,-8.20174949763053,-8.72356655799128
0.65,-6.78285862964194,-9.28417545199355,-8.44891989573896,-8.99784765454825
0.69,-8.60238165107478,-9.71747332895668,-8.72924287614693,-9.28713996406927
0.73,-11.3993985567909,-10.2320551242853,-9.17872542877896,-9.68910596581052
0.77,-9.74255872441864,-10.6921540832049,-9.41755453179316,-9.9682742741361
0.81,-12.1287453172223,-11.0287911679747,-9.66870818034621,-10.2482768112691
0.85,-11.3424503776132,-11.2716443678242,-10.0093556061084,-10.5903739505306
0.89,-13.0756602192958,-11.5134963980061,-10.3963570546067,-10.915488690163
0.93,-10.3876044781123,-11.839715409873,-10.8151839501486,-11.3891585418563
0.97,-14.6051910536796,-12.2727520066402,-11.2539942451201,-11.874088276021
1.01,-13.3630839778346,-12.7650834074064,-11.7081128893581,-12.3385353770727
1.05,-13.3618371363935,-13.2382762557321,-12.1742903745281,-12.7892259344009
1.09,-17.5115086772544,-13.6363434947439,-12.647610631018,-13.2440232335551
1.13,-13.5341721050047,-13.956657302459,-13.1248385479499,-13.7094943621618
1.17,-18.5671780197952,-14.2413927299041,-13.6055292302362,-14.1805104124326
1.21,-13.3274173944385,-14.5407136740521,-14.0891793992015,-14.6531610372613
1.25,-17.4445580034423,-14.8759777038788,-14.5734477463932,-15.1259793632907
1.29,-14.8088713154082,-15.2273195527658,-15.0552776503066,-15.595539005524
1.33,-14.0035981853619,-15.5504583723087,-15.5321573409384,-16.0569574444325
1.37,-18.1385700238646,-15.8075414825629,-16.0017937179568,-16.5060914647919
1.41,-14.8745072792634,-15.989719722977,-16.4614148809883,-16.9392812303393
1.45,-17.3175103647428,-16.1179005554962,-16.9078982625503,-17.3525521184059
1.49,-16.478389554228,-16.2246027713958,-17.3382350374762,-17.7420256777894
1.53,-14.8056492997003,-16.3318210716743,-17.7495553118812,-18.104497945326
1.57,-11.3896248465561,-16.4398984459371,-18.1388662088833,-18.437341348887
1.61,-16.7854298505465,-16.5324185520422,-18.5029919115887,-18.7382115264167
1.65,-16.0242877419135,-16.5905322081992,-18.838732306965,-19.0050109825091
1.69,-20.4334820358115,-16.6051678529055,-19.1429694342737,-19.2359647731166
1.73,-17.7128817111037,-16.5795181432008,-19.4126574344589,-19.4296027332586
1.77,-16.8552428432458,-16.5226385419776,-19.644829199561,-19.58467225887
1.81,-15.1870236583075,-16.441051741864,-19.8366743521872,-19.7000625625776
1.85,-18.9144774951511,-16.3349680207591,-19.98561745578,-19.7747497089829
1.89,-15.1494871209894,-16.2005675743306,-20.0893437299721,-19.80774580427
1.93,-14.2724755661715,-16.034688481242,-20.1457942148675,-19.7980577117018
1.97,-19.4723396629286,-15.8372853403344,-20.1531618747364,-19.7446684553704
2.01,-17.7725261723423,-15.6102206811823,-19.8944071917673,-19.5082138597691
2.05,-17.1294608042359,-15.3548227081829,-19.9376952511843,-19.4432936126354
2.09,-20.0339165821434,-15.0714984532651,-19.870714684922,-19.2984437209898
2.13,-8.38666231087983,-14.761934291512,-19.7606416494622,-19.1490452176968
2.17,-16.2926742427827,-14.4309639541723,-20.0515437617099,-19.3050704281905
2.21,-13.3875047064519,-14.0847249557922,-19.2836805874297,-18.6026980242815
2.25,-16.9486160225374,-13.7252004503597,-18.6260716855635,-17.9835794552918
2.29,-6.42201240961783,-13.3456843262901,-18.1041745446731,-17.4726979301454
2.33,-13.685393317763,-12.9326168881747,-17.6237502714205,-16.9910852687671
2.37,-10.4216680048043,-12.4747117375725,-17.1276190214087,-16.4878256231749
2.41,-11.333751093122,-11.9733365147791,-16.5873025594632,-15.939489693233
2.45,-10.0108587578465,-11.4448095114038,-15.9877048423862,-15.3379367055173
2.49,-16.5087856076596,-10.9098110859756,-15.323666489806,-14.6814780224602
2.53,-8.63470935339445,-10.3754924612459,-14.5983150705753,-13.9710332663157
2.57,-12.1748591404524,-9.82428842308186,-13.8647056187136,-13.1850838673753
2.61,-2.91735201321904,-9.22183335484784,-13.0094934580249,-12.3568451232803
2.65,-8.19675602266996,-8.54339234201155,-12.1714672218776,-11.5852349664447
2.69,-5.95810845241715,-7.80197479722944,-11.2363840293739,-10.6914720528195
2.73,-4.35562414266284,-7.0547248559411,-10.275993642237,-9.74295475791642
2.77,-4.87931052853146,-6.37529879547522,-9.29933406626837,-8.74457694864716
2.81,-1.71247677435524,-5.80409583847812,-8.31106361138367,-7.72268442739588
2.85,-6.76666987520885,-5.30903927088646,-7.31370085230942,-6.67987660240676
2.89,0.744200815249271,-4.78967527172341,-6.30912040089804,-5.61710663931514
2.93,-9.24452546371457,-4.13187723134259,-5.3002253901635,-4.53476929227037
2.97,-7.4857829833998,-3.28370537405992,-4.2895857465286,-3.4349949969581
3.01,-1.63793471756041,-2.30100275439783,-3.27996931020813,-2.32167644403702
3.05,2.67658425177861,-1.32390618929337,-2.27445541644222,-1.20011393359043
3.09,3.88337368182734,-0.489663513942056,-1.27630979745774,-0.0765486089804313
3.13,1.56137581370726,0.164686474418426,-0.288629660971651,1.04219424843954
3.17,4.18955498367316,0.739766057123416,0.685869368517444,2.14892754216933
3.21,2.68618898498777,1.41459295831361,1.64485068843589,3.23624418516744
3.25,5.94203541551737,2.3199640163743,2.58622897071348,4.29664479348446
3.29,2.52190855377007,3.42888470617933,3.50803551674161,5.32269524438078
3.33,8.58033674441583,4.54916829126594,4.40831181030887,6.30721657858047
3.37,5.18300461480647,5.44041904855472,5.28501206133569,7.2434840622293
3.41,6.73845779585838,5.98790557957379,6.13590084542537,8.12540944583162
3.45,10.7113692051653,6.31199685649969,6.9584620992913,8.94769285165964
3.49,14.0113763866709,6.71962602579345,7.74984745747886,9.70594309414707
3.53,18.1100654229092,7.50595557011012,8.50687843218623,10.3967691519991
3.57,10.4677299711812,8.72666379803002,9.22609763028603,11.0178422620422
3.61,14.2969744103807,10.1035799892252,9.90385608176325,11.5679239371325
3.65,12.410505262613,11.1576073088078,10.5364269929531,12.0468548829322
3.69,15.759653989259,11.5163192981592,11.1201409284334,12.4555038193641
